targetId,comparatorId,outcomeId,outcomeName,type
106,401,4032787,Hyperosmolarity,outcome
106,401,197032,Hyperplasia of prostate,outcome
106,401,140362,Hypoparathyroidism,outcome
106,401,435371,Hypothermia,outcome
106,401,138690,Infestation by Pediculus,outcome
106,401,4152376,Intentional self poisoning,outcome
106,401,192953,Intestinal adhesions with obstruction,outcome
106,401,196347,Intestinal parasitism,outcome
106,401,137977,Jaundice,outcome
106,401,317510,Leukemia,outcome
106,401,765053,Lump in right breast,outcome
106,401,378165,Nystagmus,outcome
106,401,434085,Obstruction of duodenum,outcome
106,401,4147016,Open wound of buttock,outcome
106,401,4129404,Open wound of upper arm,outcome
106,401,438120,Opioid dependence,outcome
106,401,75924,Osteodystrophy,outcome
106,401,432594,Osteomalacia,outcome
106,401,30365,Panhypopituitarism,outcome
106,401,4108371,Peripheral gangrene,outcome
106,401,440367,Plasmacytosis,outcome
106,401,439233,Poisoning by antidiabetic agent,outcome
106,401,442149,Poisoning by bee sting,outcome
106,401,4314086,Poisoning due to sting of ant,outcome
106,401,4147660,Postural kyphosis,outcome
106,401,434319,Premature ejaculation,outcome
106,401,199754,Primary malignant neoplasm of pancreas,outcome
106,401,4311499,Primary malignant neoplasm of respiratory tract,outcome
106,401,436635,Primary malignant neoplasm of sigmoid colon,outcome
106,401,196044,Primary malignant neoplasm of stomach,outcome
106,401,433716,Primary malignant neoplasm of testis,outcome
106,401,133424,Primary malignant neoplasm of thyroid gland,outcome
106,401,194997,Prostatitis,outcome
106,401,80286,Prosthetic joint loosening,outcome
106,401,443274,Psychostimulant dependence,outcome
106,401,314962,Raynaud?s disease,outcome
106,401,37018294,Residual osteitis,outcome
106,401,4288241,Salmonella enterica subspecies arizonae infection,outcome
106,401,45757269,Sclerosing mesenteritis,outcome
106,401,74722,Secondary localized osteoarthrosis of pelvic region,outcome
106,401,200348,Secondary malignant neoplasm of large intestine,outcome
106,401,43020446,Sedative withdrawal,outcome
106,401,74194,Sprain of spinal ligament,outcome
106,401,4194207,Tailor?s bunion,outcome
106,401,193521,Tropical sprue,outcome
106,401,40482801,Type II diabetes mellitus uncontrolled,outcome
106,401,74719,Ulcer of foot,outcome
106,401,196625,Viral hepatitis A without hepatic coma,outcome
106,401,197494,Viral hepatitis C,outcome
106,401,4284533,Vitamin D-dependent rickets,outcome
102,401,438945,Accidental poisoning by benzodiazepine-based tranquilizer,outcome
102,401,434455,Acquired claw toes,outcome
102,401,316211,Acquired spondylolisthesis,outcome
102,401,201612,Alcoholic liver damage,outcome
102,401,438730,Alkalosis,outcome
102,401,441258,Anemia in neoplastic disease,outcome
102,401,432513,Animal bite wound,outcome
102,401,4171556,Ankle ulcer,outcome
102,401,4098292,Antiphospholipid syndrome,outcome
102,401,77650,Aseptic necrosis of bone,outcome
102,401,4239873,Benign neoplasm of ciliary body,outcome
102,401,23731,Benign neoplasm of larynx,outcome
102,401,199764,Benign neoplasm of ovary,outcome
102,401,195500,Benign neoplasm of uterus,outcome
102,401,4145627,Biliary calculus,outcome
102,401,4108471,Burn of digit of hand,outcome
102,401,75121,Burn of lower leg,outcome
102,401,4284982,Calculus of bile duct without obstruction,outcome
102,401,434327,Cannabis abuse,outcome
102,401,78497,Cellulitis and abscess of toe,outcome
102,401,4001454,Cervical spine ankylosis,outcome
102,401,4068241,Chronic instability of knee,outcome
102,401,195596,Chronic pancreatitis,outcome
102,401,4206338,Chronic salpingitis,outcome
102,401,4058397,Claustrophobia,outcome
102,401,74816,Contusion of toe,outcome
102,401,73302,Curvature of spine,outcome
102,401,4151134,Cyst of pancreas,outcome
102,401,77638,Displacement of intervertebral disc without myelopathy,outcome
102,401,195864,Diverticulum of bladder,outcome
102,401,201346,Edema of penis,outcome
102,401,200461,Endometriosis of uterus,outcome
102,401,377877,Esotropia,outcome
102,401,193530,Follicular cyst of ovary,outcome
102,401,4094822,Foreign body in respiratory tract,outcome
102,401,443421,Gallbladder and bile duct calculi,outcome
102,401,4299408,Gouty tophus,outcome
102,401,135215,Hashimoto thyroiditis,outcome
102,401,442190,Hemorrhage of colon,outcome
102,401,43020475,High risk heterosexual behavior,outcome
102,401,194149,Hirschsprung?s disease,outcome
102,401,443204,Human ehrlichiosis,outcome
102,401,4226238,Hyperosmolar coma due to diabetes mellitus,outcome
102,401,4032787,Hyperosmolarity,outcome
102,401,197032,Hyperplasia of prostate,outcome
102,401,140362,Hypoparathyroidism,outcome
102,401,435371,Hypothermia,outcome
102,401,138690,Infestation by Pediculus,outcome
102,401,4152376,Intentional self poisoning,outcome
102,401,192953,Intestinal adhesions with obstruction,outcome
102,401,196347,Intestinal parasitism,outcome
102,401,137977,Jaundice,outcome
102,401,317510,Leukemia,outcome
102,401,765053,Lump in right breast,outcome
102,401,378165,Nystagmus,outcome
102,401,434085,Obstruction of duodenum,outcome
102,401,4147016,Open wound of buttock,outcome
102,401,4129404,Open wound of upper arm,outcome
102,401,438120,Opioid dependence,outcome
102,401,75924,Osteodystrophy,outcome
102,401,432594,Osteomalacia,outcome
102,401,30365,Panhypopituitarism,outcome
102,401,4108371,Peripheral gangrene,outcome
102,401,440367,Plasmacytosis,outcome
102,401,439233,Poisoning by antidiabetic agent,outcome
102,401,442149,Poisoning by bee sting,outcome
102,401,4314086,Poisoning due to sting of ant,outcome
102,401,4147660,Postural kyphosis,outcome
102,401,434319,Premature ejaculation,outcome
102,401,199754,Primary malignant neoplasm of pancreas,outcome
102,401,4311499,Primary malignant neoplasm of respiratory tract,outcome
102,401,436635,Primary malignant neoplasm of sigmoid colon,outcome
102,401,196044,Primary malignant neoplasm of stomach,outcome
102,401,433716,Primary malignant neoplasm of testis,outcome
102,401,133424,Primary malignant neoplasm of thyroid gland,outcome
102,401,194997,Prostatitis,outcome
102,401,80286,Prosthetic joint loosening,outcome
102,401,443274,Psychostimulant dependence,outcome
102,401,314962,Raynaud?s disease,outcome
102,401,37018294,Residual osteitis,outcome
102,401,4288241,Salmonella enterica subspecies arizonae infection,outcome
102,401,45757269,Sclerosing mesenteritis,outcome
102,401,74722,Secondary localized osteoarthrosis of pelvic region,outcome
102,401,200348,Secondary malignant neoplasm of large intestine,outcome
102,401,43020446,Sedative withdrawal,outcome
102,401,74194,Sprain of spinal ligament,outcome
102,401,4194207,Tailor?s bunion,outcome
102,401,193521,Tropical sprue,outcome
102,401,40482801,Type II diabetes mellitus uncontrolled,outcome
102,401,74719,Ulcer of foot,outcome
102,401,196625,Viral hepatitis A without hepatic coma,outcome
102,401,197494,Viral hepatitis C,outcome
102,401,4284533,Vitamin D-dependent rickets,outcome

